1:	S=["Lady", "Grizel", "Baillie", "(\"née\"", "Hume;", "25", "December", "1665", "–", "6", "December", "1746)", "was", "a", "Scottish", "songwriter."]
15:	S=["Sir", "John", "Vanbrugh", "(;", "24", "January", "1664", "(baptised)", "–", "26", "March", "1726)", "was", "an", "English", "architect", "and", "dramatist,", "perhaps", "best", "known", "as", "the", "designer", "of", "Blenheim Palace", "and", "Castle Howard", ".", "He", "wrote", "two", "argumentative", "and", "outspoken", "Restoration comedies", ",", "\"", "The Relapse", "\"", "(1696)", "and", "\"", "The Provoked Wife", "\"", "(1697),", "which", "have", "become", "enduring", "stage", "favourites", "but", "originally", "occasioned", "much", "controversy.", "He", "was", "knighted", "in", "1714."]
	M=[[25, "Blenheim Palace"], [27, "Castle Howard"], [35, "Restoration comedy"], [38, "The Relapse"], [43, "The Provoked Wife"]]
16:	S=["Infinity", "is", "Journey", "'s", "fourth", "album,", "released", "in", "January", "1978", "on", "Columbia Records", ".", "It", "was", "the", "band's", "first", "album", "with", "vocalist", "Steve Perry", "and", "the", "last", "to", "feature", "drummer", "Aynsley Dunbar", "."]
	M=[[2, "Journey (band)"], [11, "Columbia Records"], [21, "Steve Perry"], [28, "Aynsley Dunbar"]]
17:	S=["Look", "into", "the", "Future", "is", "Journey", "'s", "second", "studio", "album.", "It", "was", "released", "in", "January", "1976", "on", "Columbia Records", "."]
	M=[[5, "Journey (band)"], [17, "Columbia Records"]]
18:	S=["Sarah", "Churchill", "(\"née\"", "Jenyns,", "spelt", "Jennings", "in", "most", "modern", "references),", "Duchess of Marlborough", "(5", "June", "1660", "(old style)", "–", "18", "October", "1744)", "rose", "to", "be", "one", "of", "the", "most", "influential", "women", "of", "her", "time", "through", "her", "close", "friendship", "with", "Queen Anne of Great Britain", ".", "Sarah's", "friendship", "and", "influence", "with", "Princess", "Anne", "was", "widely", "known,", "and", "leading", "public", "figures", "often", "turned", "their", "attentions", "to", "her", "in", "the", "hope", "that", "she", "would", "influence", "Anne", "to", "comply", "with", "requests.", "As", "a", "result,", "by", "the", "time", "Anne", "became", "queen,", "Sarah’s", "knowledge", "of", "government,", "and", "intimacy", "with", "the", "Queen,", "had", "made", "her", "a", "powerful", "friend", "and", "a", "dangerous", "enemy."]
	M=[[10, "Duke of Marlborough (title)"], [14, "Old Style and New Style dates"], [36, "Anne, Queen of Great Britain"]]
19:	S=["Captured", "is", "the", "title", "of", "Journey", "'s", "first", "live", "album.", "Recorded", "during", "their", "Departure", "tour,", "it", "was", "released", "in", "February", "1981", "on", "the", "Columbia Records", "label.", "The", "album", "went", "on", "to", "sell", "two", "million", "copies,", "reaching", "No.", "9", "on", "the", "\"Billboard\" 200", "albums", "chart."]
	M=[[5, "Journey (band)"], [23, "Columbia Records"], [39, "Billboard 200"]]
20:	S=["Thomas", "George", "Thomas,", "1st", "Viscount", "Tonypandy,", "PC", "(29", "January", "1909", "–", "22", "September", "1997)", "was", "a", "British", "Labour Party", "politician", "and", "Speaker of the House of Commons", ".", "Born", "in", "Port Talbot", ",", "Wales,", "he", "initially", "worked", "as", "a", "teacher", "in", "both", "London", "and", "Cardiff", ".", "An", "MP", "from", "1945", "to", "1983,", "he", "held", "office", "in", "Harold Wilson", "'s", "1964–1970 Labour administration", ",", "notably", "as", "Secretary of State for Wales", "from", "1968", "to", "1970.", "As", "a", "junior", "minister", "at", "the", "Wales", "Office,", "he", "was", "one", "of", "the", "first", "on", "the", "scene", "of", "the", "Aberfan disaster", "in", "October", "1966.", "In", "1976", "Thomas", "was", "elected", "Speaker", "of", "the", "House", "of", "Commons,", "in", "which", "role", "the", "first", "broadcasting", "of", "parliamentary", "proceedings", "brought", "him", "unprecedented", "public", "attention.", "He", "retired", "from", "parliament", "in", "1983", "and", "was", "elevated", "to", "the", "peerage", "as", "Viscount", "Tonypandy."]
	M=[[6, "Her Majesty's Most Honourable Privy Council"], [17, "Labour Party (UK)"], [20, "Speaker of the House of Commons (United Kingdom)"], [24, "Port Talbot"], [37, "Cardiff"], [49, "Harold Wilson"], [51, "Labour Government 1964-1970"], [55, "Secretary of State for Wales"], [79, "Aberfan disaster"]]
21:	S=["Anklam", "[]", "(),", "formerly", "known", "as", "Tanglim", "and", "Wendenburg,", "is", "a", "town", "in", "the", "Western Pomerania", "region", "of", "Mecklenburg-Vorpommern", ",", "Germany", ".", "It", "is", "situated", "on", "the", "banks", "of", "the", "Peene", "river,", "just", "8", "km", "from", "its", "mouth", "in", "the", "\"Kleines", "Haff\",", "the", "western", "part", "of", "the", "Stettin Lagoon", ".", "Anklam", "has", "a", "population", "of", "14,603", "(2005)", "and", "was", "the", "capital", "of", "the", "former", "Ostvorpommern", "district.", "Since", "September", "2011,", "it", "is", "part", "of", "the", "district", "Vorpommern-Greifswald", "."]
	M=[[14, "Western Pomerania"], [17, "Mecklenburg-Vorpommern"], [19, "Germany"], [29, "Peene"], [46, "Szczecin Lagoon"], [62, "Ostvorpommern"], [73, "Vorpommern-Greifswald"]]
22:	S=["Uecker-Randow", "was", "a", "\"Kreis\"", "(district)", "in", "the", "eastern", "part", "of", "Mecklenburg-Western Pomerania", ",", "Germany", ".", "The", "district", "was", "created", "on", "June", "12,", "1994", "by", "merging", "the", "previous", "districts", "Pasewalk,", "Ueckermünde", "and", "part", "of", "the", "district", "Strasburg.", "On", "4", "September", "2011,", "it", "was", "merged", "into", "Vorpommern-Greifswald", "."]
	M=[[10, "Mecklenburg-Western Pomerania"], [12, "Germany"], [43, "Vorpommern-Greifswald"]]
23:	S=["Stormtrooper", "s", "were", "specialist", "soldiers", "of", "the", "German", "Army", "in", "World", "War", "I.", "Stormtrooper", "may", "also", "refer", "to:"]
	M=[[0, "Stormtrooper"]]
24:	S=["Belgian", "culture", "involves", "both", "the", "aspects", "shared", "by", "all", "Belgians", "regardless", "of", "the", "language", "they", "speak,", "and", "the", "differences", "between", "the", "main", "cultural", "communities:", "the", "Dutch-speaking", "Flemish", "and", "the", "French-speakers", "Walloons", ".", "Most", "Belgians", "view", "their", "culture", "as", "an", "integral", "part", "of", "European", "culture.", "However,", "members", "of", "each", "of", "the", "two", "main", "linguistic", "groups", "generally", "make", "their", "cultural", "choices", "from", "within", "their", "own", "community,", "and", "then,", "when", "going", "beyond,", "the", "Flemish", "draw", "intensively", "from", "both", "the", "English-speaking culture", "(which", "dominates", "sciences,", "professional", "life", "and", "most", "news", "media)", "and", "the", "Netherlands", ",", "whereas", "French-speakers", "focus", "on"]
	M=[[26, "Flemish people"], [30, "Walloons"], [70, "Flemish people"], [76, "Anglosphere"], [88, "Culture of the Netherlands"]]
25:	S=["Angel", "is", "an", "American", "television", "series,", "a", "spin-off", "from", "the", "television", "series", "\"", "Buffy the Vampire Slayer", "\".", "The", "series", "was", "created", "by", "\"Buffy\"s", "creator,", "Joss Whedon", ",", "in", "collaboration", "with", "David Greenwalt", ".", "It", "aired", "on", "The WB", "from", "October", "5,", "1999,", "to", "May", "19,", "2004,", "consisting", "of", "five", "seasons", "and", "110", "episodes.", "Like", "\"Buffy\",", "it", "was", "produced", "by", "Whedon's", "production", "company,", "Mutant Enemy", "."]
	M=[[7, "Spin-off (media)"], [13, "Buffy the Vampire Slayer"], [22, "Joss Whedon"], [27, "David Greenwalt"], [32, "The WB"], [57, "Mutant Enemy Productions"]]
26:	S=["Almería", "(;", ")", "is", "a", "province", "of", "the", "Autonomous", "Community", "of", "Andalusia", ",", "Spain", ".", "It", "is", "bordered", "by", "the", "provinces", "of", "Granada", ",", "Murcia", ",", "and", "the", "Mediterranean Sea", ".", "Its", "capital", "is", "the", "homonymous", "city", "of", "Almería", "."]
	M=[[5, "Provinces of Spain"], [11, "Andalusia"], [13, "Spain"], [22, "Province of Granada"], [24, "Region of Murcia"], [28, "Mediterranean Sea"], [37, "Almería"]]
27:	S=["Granada", "is", "a", "province", "of", "southern", "Spain", ",", "in", "the", "eastern", "part", "of", "the", "autonomous community", "of", "Andalusia", ".", "It", "is", "bordered", "by", "the", "provinces", "of", "Albacete", ",", "Murcia", ",", "Almería", ",", "Jaén", ",", "Córdoba", ",", "Málaga", ",", "and", "the", "Mediterranean Sea", "(along", "the", "Costa Tropical", ").", "Its", "capital", "city", "is", "also", "called", "Granada", "."]
	M=[[3, "Provinces of Spain"], [6, "Spain"], [14, "Autonomous communities of Spain"], [16, "Andalusia"], [25, "Albacete (province)"], [27, "Region of Murcia"], [29, "Almería (province)"], [31, "Jaén (Spanish province)"], [33, "Córdoba (Spanish province)"], [35, "Málaga (province)"], [39, "Mediterranean Sea"], [42, "Costa Tropical"], [50, "Granada"]]
28:	S=["Córdoba", "(),", "also", "called", "Cordova", "in", "English", ",", "is", "a", "province", "of", "southern", "Spain", ",", "in", "the", "north-central", "part", "of", "the", "autonomous community", "of", "Andalusia", ".", "It", "is", "bordered", "by", "the", "provinces", "of", "Málaga", ",", "Seville", ",", "Badajoz", ",", "Ciudad Real", ",", "Jaén", ",", "and", "Granada", ".", "Its", "area", "is", "13,769", "km².", "A", "royal", "decree", "of"]
	M=[[6, "English language"], [10, "Provinces of Spain"], [13, "Spain"], [21, "Autonomous communities of Spain"], [23, "Andalusia"], [32, "Málaga (province)"], [34, "Seville (province)"], [36, "Badajoz (province)"], [38, "Ciudad Real (province)"], [40, "Jaén Province, Spain"], [43, "Granada (province)"]]
29:	S=["The", "Province", "of", "Seville", "()", "is", "a", "province", "of", "southern", "Spain", ",", "in", "the", "western", "part", "of", "the", "autonomous community", "of", "Andalusia", ".", "It", "is", "bordered", "by", "the", "provinces", "of", "Málaga", ",", "Cádiz", "in", "the", "south,", "Huelva", "in", "the", "west,", "Badajoz", "in", "the", "north", "and", "Córdoba", "in", "the", "east.", "Seville", "is", "the", "province's", "as", "well", "as", "the", "Andalusian", "autonomous", "community's", "capital."]
	M=[[7, "Provinces of Spain"], [10, "Spain"], [18, "Autonomous communities of Spain"], [20, "Andalusia"], [29, "Málaga (province)"], [31, "Cádiz (province)"], [35, "Huelva (province)"], [39, "Badajoz (province)"], [44, "Córdoba Province, Spain"], [48, "Seville"]]
30:	S=["Cádiz", "is", "a", "province", "of", "southern", "Spain", ",", "in", "the", "southwestern", "part", "of", "the", "autonomous community", "of", "Andalusia", ",", "the", "southernmost", "part", "of", "continental", "Western Europe", "as", "well", "as", "of", "the", "entire", "continent."]
	M=[[3, "Provinces of Spain"], [6, "Spain"], [14, "Autonomous communities of Spain"], [16, "Andalusia"], [23, "Western Europe"]]
31:	S=["Huelva", "()", "is", "a", "province", "of", "southern", "Spain", ",", "in", "the", "western", "part", "of", "the", "autonomous community", "of", "Andalusia", ".", "It", "is", "bordered", "by", "Portugal", ",", "the", "provinces", "of", "Badajoz", ",", "Seville", ",", "and", "Cádiz", ",", "and", "the", "Atlantic", "Ocean.", "Its", "capital", "is", "Huelva", "."]
	M=[[4, "Provinces of Spain"], [7, "Spain"], [15, "Autonomous communities of Spain"], [17, "Andalusia"], [23, "Portugal"], [28, "Badajoz (province)"], [30, "Seville (province)"], [33, "Cádiz (province)"], [42, "Huelva"]]
32:	S=["Glenn", "Martin", "Christopher", "Francis", "Quinn", "(May", "28,", "1970", "–", "December", "3,", "2002)", "was", "an", "Irish", "actor", "in", "television", "and", "film,", "known", "for", "playing", "Mark", "Healy", "in", "the", "American", "sitcom", "\"", "Roseanne", "\",", "and", "Doyle", ",", "a", "half-demon,", "on", "the", "1999–2004", "television", "series", "\"", "Angel", "\",", "a", "spin-off", "series", "of", "the", "television", "series", "\"", "Buffy the Vampire Slayer", "\"."]
	M=[[14, "Irish people"], [30, "Roseanne"], [33, "Doyle (Angel)"], [43, "Angel (1999 TV series)"], [53, "Buffy the Vampire Slayer"]]
33:	S=["Alicante", "(),", "or", "Alacant", "(),", "is", "a", "province", "of", "eastern", "Spain", ",", "in", "the", "southern", "part", "of", "the", "Valencian Community", ".", "It", "is", "bordered", "by", "the", "provinces", "of", "Murcia", "on", "the", "southwest,", "Albacete", "on", "the", "west,", "Valencia", "on", "the", "north,", "and", "the", "Mediterranean Sea", "on", "the", "east.", "The", "province", "is", "named", "after", "its", "capital,", "the", "city", "of", "Alicante", "."]
	M=[[7, "Provinces of Spain"], [10, "Spain"], [18, "Valencian Community"], [27, "Region of Murcia"], [31, "Albacete (province)"], [35, "Valencia (province)"], [41, "Mediterranean Sea"], [55, "Alicante"]]
34:	S=["Tarragona", "(,", ")", "is", "a", "province", "of", "eastern", "Spain,", "in", "the", "southern", "part", "of", "the", "autonomous community", "of", "Catalonia", ".", "It", "is", "bordered", "by", "the", "provinces", "of", "Castellón", ",", "Teruel", ",", "Zaragoza", ",", "Lleida", ",", "Barcelona", ",", "and", "the", "Mediterranean Sea", "."]
	M=[[5, "Provinces of Spain"], [15, "Autonomous communities of Spain"], [17, "Catalonia"], [26, "Province of Castellón"], [28, "Province of Teruel"], [30, "Zaragoza (province)"], [32, "Province of Lleida"], [34, "Province of Barcelona"], [38, "Mediterranean Sea"]]
35:	S=["Girona", "(,", ";", ")", "is", "a", "province", "of", "Spain", ",", "in", "the", "northeastern", "part", "of", "the", "autonomous community", "of", "Catalonia", ".", "It", "is", "bordered", "on", "the", "northwest", "by", "the", "province", "of", "Lleida", ",", "on", "the", "southwest", "by", "the", "province", "of", "Barcelona", ",", "on", "the", "north", "by", "France", ",", "and", "on", "the", "east", "by", "the", "Mediterranean Sea", "."]
	M=[[6, "Provinces of Spain"], [8, "Spain"], [16, "Autonomous communities of Spain"], [18, "Catalonia"], [30, "Province of Lleida"], [39, "Province of Barcelona"], [45, "France"], [53, "Mediterranean Sea"]]
36:	S=["Barcelona", "(,", ")", "is", "a", "province", "of", "eastern", "Spain", ",", "in", "the", "center", "of", "the", "autonomous community", "of", "Catalonia", ".", "The", "province", "is", "bordered", "by", "the", "provinces", "of", "Tarragona", ",", "Lleida", ",", "and", "Girona", ",", "and", "by", "the", "Mediterranean Sea", ".", "5,540,925", "people", "live", "in", "the", "province,", "of", "whom", "about", "30%", "(1,621,537)", "live", "within", "administrative", "limits", "of", "city", "of", "Barcelona.", "Its", "area", "is", "7,733", "km²", "and", "cover", "Barcelona metropolitan area", "."]
	M=[[5, "Provinces of Spain"], [8, "Spain"], [15, "Autonomous communities of Spain"], [17, "Catalonia"], [27, "Province of Tarragona"], [29, "Province of Lleida"], [32, "Province of Girona"], [37, "Mediterranean Sea"], [65, "Barcelona metropolitan area"]]
37:	S=["Mrs", "Brown,", "also", "theatrically", "released", "as", "Her", "Majesty,", "Mrs", "Brown,", "is", "a", "1997", "British", "drama", "film", "starring", "Judi Dench", ",", "Billy Connolly", ",", "Geoffrey Palmer", ",", "Antony Sher", ",", "and", "Gerard Butler", "in", "his", "film", "debut.", "It", "was", "written", "by", "Jeremy Brock", "and", "directed", "by", "John Madden", "."]
	M=[[17, "Judi Dench"], [19, "Billy Connolly"], [21, "Geoffrey Palmer (actor)"], [23, "Antony Sher"], [26, "Gerard Butler"], [35, "Jeremy Brock"], [39, "John Madden (director)"]]
38:	S=["\"With", "a", "Little", "Help", "from", "My", "Friends\"", "is", "a", "song", "by", "The Beatles", ",", "written", "by", "John Lennon", "and", "Paul McCartney", ",", "from", "the", "album", "\"", "Sgt. Pepper's Lonely Hearts Club Band", "\"", "issued", "worldwide", "in", "June", "1967.", "The", "song", "was", "written", "for", "and", "sung", "by", "the", "Beatles'", "drummer", "Ringo Starr", "as", "the", "character", "\"", "Billy Shears", "\".", "The", "song,", "paired", "with", "\"", "Sgt. Pepper's Lonely Hearts Club Band", "\"", "and", "featuring", "\"", "A Day in the Life", "\"", "as", "its", "B-side", ",", "was", "reissued", "as", "a", "single", "in", "the", "U.S.", "in", "August", "1978", "(#71)", "and", "in", "the", "U.K.", "in", "September", "1978", "(#63).", "With", "a", "Little", "Help", "from", "My", "Friends", "was", "ranked", "No.", "311", "on", "\"", "Rolling Stone", "\"s", "list", "of", "the", "500 Greatest Songs of All Time", "."]
	M=[[11, "The Beatles"], [15, "John Lennon"], [17, "Paul McCartney"], [23, "Sgt. Pepper's Lonely Hearts Club Band"], [41, "Ringo Starr"], [46, "Billy Shears"], [53, "Sgt. Pepper's Lonely Hearts Club Band (song)"], [58, "A Day in the Life"], [62, "B-side"], [79, "U.K."], [97, "Rolling Stone"], [102, "500 Greatest Songs of All Time"]]
39:	S=["Indira", "Gandhi", "International", "Airport", "serves", "as", "the", "primary", "civilian", "aviation", "hub", "for", "the", "National Capital Region", "of", "Delhi", ",", "India", ".", "The", "airport,", "spread", "over", "an", "area", "of", ",", "is", "situated", "in", "Palam", ",", "south-west", "of", "the", "New Delhi railway station", "and", "from", "New", "Delhi", "city", "centre.", "Named", "after", "Indira Gandhi", ",", "a", "former", "Prime Minister of India", ",", "it", "is", "the", "busiest", "airport", "in", "the", "country", "in", "terms", "of", "passenger traffic", "since", "2009.", "It", "is", "the", "second", "busiest", "airport", "in", "the", "country", "in", "terms", "of", "cargo", "traffic", "after", "Mumbai", ".", "With", "the", "commencement", "of", "operations", "at", "Terminal", "3", "in", "2010,", "it", "became", "India's", "and", "South", "Asia's", "largest", "aviation", "hub,", "with", "a", "current", "capacity", "of", "handling", "more", "than", "40", "million", "passengers.", "The", "planned", "expansion", "program", "will", "increase", "the", "airport's", "capacity", "to", "handle", "100", "million", "passengers", "by", "2030.", "In", "2014,", "the", "airport", "handled", "a", "total", "of", "39.752", "million", "passengers,", "registering", "a", "8.4%", "growth", "in", "traffic", "over", "the", "previous", "year", "and", "became", "the", "12th busiest airports in Asia", ".", "As", "of", "2015,", "the", "airport", "currently", "is", "the", "26th busiest airport in the world by passenger traffic", "."]
	M=[[13, "National Capital Region (India)"], [15, "Delhi"], [17, "India"], [30, "Palam"], [35, "New Delhi railway station"], [44, "Indira Gandhi"], [48, "Prime Minister of India"], [61, "List of busiest airports in India by passenger traffic"], [79, "Chhatrapati Shivaji International Airport"], [151, "List of the busiest airports in Asia"], [161, "World's busiest airports by passenger traffic"]]
40:	S=["Cajemé", "/", "Kahe'eme", "(", "Yoeme or Yaqui Language", "for", "\"the", "one", "who", "does", "not", "stop", "to", "drink", "water\"'),", "born", "José", "María", "Bonifacio", "Leiva", "Peres", "(also", "spelled", "Leyva,", "and", "Leyba)", "was", "a", "prominent", "Yaqui", "military", "leader", "who", "lived", "in", "the", "Mexican", "state", "of", "Sonora", "from", "1835", "to", "1887."]
	M=[[4, "Yaqui language"], [29, "Yaqui people"], [36, "Mexico"], [39, "Sonora"]]
41:	S=["Zaragoza", "(),", "also", "called", "Saragossa", "in", "English", ",", "is", "a", "province", "of", "northern", "Spain", ",", "in", "the", "central", "part", "of", "the", "autonomous community", "of", "Aragon", "."]
	M=[[6, "English language"], [10, "Provinces of Spain"], [13, "Spain"], [21, "Autonomous communities of Spain"], [23, "Aragon"]]
42:	S=["Teruel", "is", "a", "province", "of", "Aragon", ",", "in", "the", "northeast", "of", "Spain", ".", "The", "capital", "is", "Teruel", "."]
	M=[[5, "Aragon"], [11, "Spain"], [16, "Teruel"]]
